Score_Rank,Number_students,Numb_students_per_Staff,International_Students,Percentage_Female,Percentage_Male,Teaching,Research,Citations,Industry_Income,International_Outlook,Score_Result,Overall_Ranking,Country,University,Rank
346,15150,18.7,4,0,0,24.0,26.1,39.2,88.0,21.7,30.6,28.3,China,"China University of Petroleum, Beijing",> 300
533,15236,11.1,3,63,37,17.0,8.1,4.5,36.9,16.7,11.1,10.7,Russian Federation,Bashkir State University,> 300
295,23305,22.2,1,71,29,17.8,11.1,73.4,38.9,57.2,36.0,35.3,Jamaica,The University of the West Indies,200 to 300
432,14867,16.3,16,57,43,15.9,13.6,23.6,35.0,62.5,21.5,10.7,France,University of Cergy-Pontoise,> 300
139,14007,12.5,14,60,40,29.5,29.4,94.1,37.1,78.3,52.7,50.1,Norway,University of Bergen,100 to 200
308,17078,16.2,6,57,43,32.1,18.2,53.9,35.3,33.2,34.6,28.3,United States,Baylor University,> 300
530,9763,30.4,1,13,87,14.6,9.1,6.8,38.9,16.9,11.4,10.7,Japan,Chiba Institute of Technology,> 300
418,12124,13.6,5,55,45,17.0,15.8,31.0,40.0,37.9,23.0,22.2,Slovenia,University of Maribor,> 300
394,7681,27.2,12,73,27,16.9,20.1,29.5,38.2,63.0,25.6,22.2,Estonia,Tallinn University,> 300
297,16569,19.3,3,57,43,23.9,17.7,66.0,34.4,35.4,35.8,35.3,United States,University of Rhode Island,200 to 300
176,13825,16.4,32,46,54,28.6,31.1,75.7,37.5,90.3,48.3,46.9,United Kingdom,University of Bath,100 to 200
172,2895,1.0,3,66,34,35.7,16.7,99.7,47.6,26.6,48.8,46.9,United States,Oregon Health and Science University,100 to 200
427,5653,16.2,4,13,87,18.7,12.4,31.0,47.4,29.3,22.0,10.7,Japan,Kyushu Institute of Technology (Kyutech),> 300
399,5652,14.0,83,46,54,19.2,14.8,23.0,37.5,94.8,25.1,22.2,United Arab Emirates,American University of Sharjah,> 300
473,3492,10.1,5,60,40,20.0,14.1,15.1,39.1,20.3,17.3,10.7,Taiwan,Tzu Chi University,> 300
437,15236,15.8,5,65,35,16.5,8.8,31.9,35.0,39.1,21.0,10.7,Argentina,National University of San Mart�n,> 300
75,3030,5.7,40,22,78,59.6,49.1,70.2,69.6,95.2,62.6,62.5,France,�cole Polytechnique,0 to 100
131,25501,13.5,27,59,41,32.5,35.5,87.1,37.8,85.1,53.9,53.8,United Kingdom,Cardiff University,100 to 200
147,8033,21.4,15,50,50,36.8,48.8,62.1,55.9,78.2,51.6,50.1,Netherlands,Tilburg University,100 to 200
511,12219,26.3,3,48,52,14.8,12.1,8.2,65.6,18.0,13.5,10.7,Taiwan,National Chiayi University,> 300
61,24412,28.1,17,55,45,44.5,50.1,94.8,94.0,82.7,65.4,65.4,Canada,McMaster University,0 to 100
442,13606,16.1,13,56,44,17.9,11.2,25.4,36.7,43.4,20.5,10.7,Spain,University of Le�n,> 300
33,26057,12.5,44,62,38,61.3,68.5,94.8,45.6,95.6,75.7,75.7,United Kingdom,King�s College London,0 to 100
477,9293,10.4,13,0,0,19.8,10.0,13.3,37.8,39.8,16.9,10.7,Ukraine,Sumy State University,> 300
97,20024,17.5,14,55,45,36.0,49.9,88.2,46.2,73.0,58.9,58.9,Netherlands,Radboud University Nijmegen,0 to 100
18,22319,9.8,25,49,51,79.7,86.0,96.6,37.1,73.4,85.1,85.1,United States,Cornell University,0 to 100
351,13591,20.0,5,49,51,30.3,12.7,45.4,38.0,34.2,30.0,28.3,Spain,Miguel Hern�ndez University of Elche,> 300
386,25119,17.0,13,55,45,17.5,13.2,41.4,34.8,52.9,26.5,22.2,United Kingdom,Sheffield Hallam University,> 300
231,3593,8.7,5,51,49,27.5,25.0,72.5,43.8,53.9,42.6,42.4,United States,University of Alaska Fairbanks,200 to 300
241,16475,13.0,10,59,41,21.5,18.0,80.0,36.0,64.5,41.6,38.8,Norway,UiT The Arctic University of Norway,200 to 300
227,9735,18.5,6,61,39,17.6,21.1,88.7,36.0,52.2,43.0,42.4,Sweden,�rebro University,200 to 300
345,12182,15.6,9,58,42,22.5,16.3,49.6,37.5,43.5,30.7,28.3,Spain,Jaume I University,> 300
383,18783,13.5,2,38,62,29.0,10.4,41.1,34.5,23.6,26.8,22.2,India,Aligarh Muslim University,> 300
88,26652,5.8,11,51,49,47.4,45.5,95.1,40.7,39.3,60.4,60.4,United States,University of Pittsburgh-Pittsburgh campus,0 to 100
486,19508,37.4,2,55,45,18.8,12.2,11.9,68.0,19.6,16.0,10.7,Turkey,Yeditepe University,> 300
88,11090,16.5,16,56,44,44.5,41.2,86.6,85.0,87.3,60.4,60.4,Switzerland,University of Bern,0 to 100
486,7215,14.4,16,60,40,18.4,14.7,7.3,36.0,39.2,16.0,10.7,Czech Republic,Mendel University in Brno,> 300
